# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 56K of event 'cache-references'
# Event count (approx.): 25757743
#
# Overhead  Command          Shared Object         Symbol                                                                                                                                                    
# ........  ...............  ....................  ..........................................................................................................................................................
#
     0.62%  GC Thread#1      libjvm.so             [.] G1ParScanThreadState::trim_queue_to_threshold
     0.60%  GC Thread#3      libjvm.so             [.] G1ParScanThreadState::trim_queue_to_threshold
     0.60%  GC Thread#13     libjvm.so             [.] G1ParScanThreadState::trim_queue_to_threshold
     0.57%  GC Thread#7      libjvm.so             [.] G1ParScanThreadState::trim_queue_to_threshold
     0.55%  GC Thread#4      libjvm.so             [.] G1ParScanThreadState::trim_queue_to_threshold
     0.54%  GC Thread#19     libjvm.so             [.] G1ParScanThreadState::trim_queue_to_threshold
     0.53%  GC Thread#14     libjvm.so             [.] G1ParScanThreadState::trim_queue_to_threshold
     0.51%  GC Thread#0      libjvm.so             [.] G1ParScanThreadState::trim_queue_to_threshold
     0.51%  GC Thread#15     libjvm.so             [.] G1ParScanThreadState::trim_queue_to_threshold
     0.51%  G1 Refine#1      libjvm.so             [.] OopOopIterateDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.51%  G1 Refine#4      libjvm.so             [.] OtherRegionsTable::add_reference
     0.50%  java             libjvm.so             [.] aci_CopyRight
     0.49%  GC Thread#6      libjvm.so             [.] G1ParScanThreadState::trim_queue_to_threshold
     0.49%  GC Thread#10     libjvm.so             [.] G1ParScanThreadState::trim_queue_to_threshold
     0.47%  java             [kernel.kallsyms]     [k] perf_iterate_ctx
     0.44%  GC Thread#20     libjvm.so             [.] G1ParScanThreadState::trim_queue_to_threshold
     0.44%  java             perf-4009.map         [.] java.util.HashMap$Node[] java.util.HashMap.resize()
     0.42%  GC Thread#9      libjvm.so             [.] G1ParScanThreadState::trim_queue_to_threshold
     0.41%  GC Thread#12     libjvm.so             [.] G1ParScanThreadState::trim_queue_to_threshold
     0.41%  GC Thread#11     libjvm.so             [.] G1ParScanThreadState::trim_queue_to_threshold
     0.40%  GC Thread#8      libjvm.so             [.] G1ParScanThreadState::trim_queue_to_threshold
     0.40%  G1 Refine#4      libjvm.so             [.] G1BlockOffsetTablePart::forward_to_block_containing_addr_slow
     0.38%  java             perf-4009.map         [.] Interpreter
     0.36%  VM Thread        [kernel.kallsyms]     [k] perf_event_alloc
     0.36%  G1 Refine#0      libjvm.so             [.] G1RemSet::clean_card_before_refine
     0.35%  GC Thread#16     libjvm.so             [.] G1ParScanThreadState::trim_queue_to_threshold
     0.35%  java             perf-4009.map         [.] java.util.HashMap$Node[] java.util.HashMap.resize()
     0.35%  G1 Refine#2      libjvm.so             [.] OopOopIterateDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.34%  G1 Refine#6      libjvm.so             [.] G1BlockOffsetTablePart::forward_to_block_containing_addr_slow
     0.33%  java             perf-4009.map         [.] java.lang.Object java.util.HashMap.put(java.lang.Object, java.lang.Object)
     0.32%  G1 Refine#5      libjvm.so             [.] G1BlockOffsetTablePart::forward_to_block_containing_addr_slow
     0.32%  G1 Refine#3      libjvm.so             [.] G1BlockOffsetTablePart::forward_to_block_containing_addr_slow
     0.32%  G1 Refine#8      libjvm.so             [.] G1BlockOffsetTablePart::forward_to_block_containing_addr_slow
     0.31%  G1 Refine#3      libjvm.so             [.] OopOopIterateDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.31%  G1 Refine#5      libjvm.so             [.] OopOopIterateDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.31%  G1 Refine#9      libjvm.so             [.] G1BlockOffsetTablePart::forward_to_block_containing_addr_slow
     0.31%  G1 Refine#10     libjvm.so             [.] G1BlockOffsetTablePart::forward_to_block_containing_addr_slow
     0.30%  java             perf-4009.map         [.] pim.algorithm.BSTBuilder$Pair pim.algorithm.IntIntValuePairGenerator.genPair()
     0.29%  G1 Refine#6      libjvm.so             [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, narrowOop>
     0.29%  G1 Refine#4      libjvm.so             [.] OopOopIterateDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.28%  G1 Refine#6      libjvm.so             [.] OtherRegionsTable::add_reference
     0.27%  GC Thread#9      libjvm.so             [.] OopOopIterateDispatch<G1ScanCardClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.26%  GC Thread#20     libjvm.so             [.] G1ParScanThreadState::steal_and_trim_queue
     0.24%  C2 CompilerThre  [kernel.kallsyms]     [k] perf_iterate_ctx
     0.22%  G1 Refine#0      libjvm.so             [.] oopDesc::size_given_klass
     0.21%  GC Thread#8      libjvm.so             [.] OopOopIterateDispatch<G1ScanCardClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.21%  G1 Refine#7      libjvm.so             [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, narrowOop>
     0.20%  G1 Refine#7      libjvm.so             [.] OtherRegionsTable::add_reference
     0.20%  GC Thread#20     libjvm.so             [.] OopOopIterateDispatch<G1ScanCardClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.20%  G1 Refine#1      libjvm.so             [.] G1RemSet::refine_card_concurrently
     0.20%  G1 Refine#0      libjvm.so             [.] G1HotCardCache::insert
     0.19%  GC Thread#16     libjvm.so             [.] G1ScanCardClosure::do_oop_work<narrowOop>
     0.19%  G1 Refine#12     libjvm.so             [.] G1BlockOffsetTablePart::forward_to_block_containing_addr_slow
     0.18%  G1 Refine#21     libjvm.so             [.] G1BlockOffsetTablePart::forward_to_block_containing_addr_slow
     0.18%  G1 Refine#15     libjvm.so             [.] G1BlockOffsetTablePart::forward_to_block_containing_addr_slow
     0.18%  java             perf-4009.map         [.] int java.lang.Integer.hashCode()
     0.18%  G1 Refine#13     libjvm.so             [.] G1BlockOffsetTablePart::forward_to_block_containing_addr_slow
     0.18%  GC Thread#5      libjvm.so             [.] G1ParScanThreadState::steal_and_trim_queue
     0.17%  java             perf-4009.map         [.] java.util.HashMap$Node java.util.HashMap.getNode(java.lang.Object)
     0.17%  G1 Refine#20     libjvm.so             [.] G1BlockOffsetTablePart::forward_to_block_containing_addr_slow
     0.16%  G1 Refine#16     libjvm.so             [.] G1BlockOffsetTablePart::forward_to_block_containing_addr_slow
     0.16%  GC Thread#15     libjvm.so             [.] G1ParScanThreadState::steal_and_trim_queue
     0.16%  VM Thread        [kernel.kallsyms]     [k] __init_waitqueue_head
     0.15%  G1 Refine#18     libjvm.so             [.] G1BlockOffsetTablePart::forward_to_block_containing_addr_slow
     0.15%  VM Thread        [kernel.kallsyms]     [k] mutex_unlock
     0.14%  G1 Refine#6      libjvm.so             [.] OopOopIterateDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.14%  G1 Refine#22     libjvm.so             [.] G1BlockOffsetTablePart::forward_to_block_containing_addr_slow
     0.14%  G1 Refine#19     libjvm.so             [.] G1BlockOffsetTablePart::forward_to_block_containing_addr_slow
     0.13%  GC Thread#8      libjvm.so             [.] G1ScanCardClosure::do_oop_work<narrowOop>
     0.13%  GC Thread#7      libjvm.so             [.] G1ScanCardClosure::do_oop_work<narrowOop>
     0.13%  GC Thread#12     libjvm.so             [.] G1ParScanThreadState::steal_and_trim_queue
     0.13%  GC Thread#13     libjvm.so             [.] G1ScanCardClosure::do_oop_work<narrowOop>
     0.13%  G1 Refine#14     libjvm.so             [.] G1BlockOffsetTablePart::forward_to_block_containing_addr_slow
     0.13%  GC Thread#6      libjvm.so             [.] G1ParScanThreadState::steal_and_trim_queue
     0.12%  G1 Refine#3      libjvm.so             [.] G1RemSet::refine_card_concurrently
     0.12%  C2 CompilerThre  libjvm.so             [.] IndexSet::initialize
     0.12%  G1 Refine#2      libjvm.so             [.] G1RemSet::refine_card_concurrently
     0.12%  GC Thread#7      libjvm.so             [.] G1ParScanThreadState::steal_and_trim_queue
     0.12%  C2 CompilerThre  libjvm.so             [.] PhaseLive::compute
     0.12%  G1 Refine#17     libjvm.so             [.] G1BlockOffsetTablePart::forward_to_block_containing_addr_slow
     0.11%  C1 CompilerThre  [kernel.kallsyms]     [k] perf_iterate_ctx
     0.11%  GC Thread#8      libjvm.so             [.] G1ParScanThreadState::steal_and_trim_queue
     0.11%  G1 Refine#2      libjvm.so             [.] G1HotCardCache::insert
     0.11%  GC Thread#16     libjvm.so             [.] OopOopIterateDispatch<G1ScanCardClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.11%  GC Thread#10     libjvm.so             [.] G1ParScanThreadState::steal_and_trim_queue
     0.11%  G1 Refine#7      libjvm.so             [.] OopOopIterateDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.10%  G1 Refine#7      libjvm.so             [.] G1BlockOffsetTablePart::forward_to_block_containing_addr_slow
     0.10%  G1 Refine#1      libjvm.so             [.] G1HotCardCache::insert
     0.10%  GC Thread#13     libjvm.so             [.] OopOopIterateDispatch<G1ScanCardClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.10%  G1 Refine#5      libjvm.so             [.] G1RemSet::refine_card_concurrently
     0.10%  G1 Refine#4      libjvm.so             [.] G1RemSet::refine_card_concurrently
     0.10%  G1 Refine#0      libjvm.so             [.] G1CardCounts::add_card_count
     0.10%  G1 Refine#1      libjvm.so             [.] G1RemSet::clean_card_before_refine
     0.10%  G1 Refine#11     libjvm.so             [.] OopOopIterateDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.09%  C2 CompilerThre  libjvm.so             [.] PhaseChaitin::Split
     0.09%  C2 CompilerThre  libjvm.so             [.] PhaseChaitin::gather_lrg_masks
     0.09%  GC Thread#0      [kernel.kallsyms]     [k] clear_page_erms
     0.09%  C2 CompilerThre  libjvm.so             [.] PhaseChaitin::post_allocate_copy_removal
     0.09%  G1 Refine#5      libjvm.so             [.] G1HotCardCache::insert
     0.09%  GC Thread#20     libjvm.so             [.] G1ScanHRForRegionClosure::scan_heap_roots
     0.09%  G1 Refine#11     libjvm.so             [.] G1BlockOffsetTablePart::forward_to_block_containing_addr_slow
     0.09%  G1 Refine#14     libjvm.so             [.] OopOopIterateDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.09%  GC Thread#19     [kernel.kallsyms]     [k] clear_page_erms
     0.08%  G1 Refine#17     libjvm.so             [.] OopOopIterateDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.08%  GC Thread#4      [kernel.kallsyms]     [k] clear_page_erms
     0.08%  GC Thread#10     [kernel.kallsyms]     [k] clear_page_erms
     0.08%  G1 Refine#12     libjvm.so             [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, narrowOop>
     0.08%  GC Thread#2      libjvm.so             [.] OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, narrowOop>
     0.08%  GC Thread#8      libjvm.so             [.] G1ScanHRForRegionClosure::scan_heap_roots
     0.08%  G1 Refine#11     libjvm.so             [.] OtherRegionsTable::add_reference
     0.08%  GC Thread#22     libjvm.so             [.] OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, narrowOop>
     0.08%  GC Thread#9      libjvm.so             [.] G1ScanHRForRegionClosure::scan_heap_roots
     0.08%  GC Thread#4      libjvm.so             [.] OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, narrowOop>
     0.08%  GC Thread#22     [kernel.kallsyms]     [k] clear_page_erms
     0.08%  C2 CompilerThre  libjvm.so             [.] PhaseIdealLoop::Dominators
     0.08%  GC Thread#3      libjvm.so             [.] OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, narrowOop>
     0.08%  GC Thread#19     libjvm.so             [.] OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, narrowOop>
     0.08%  GC Thread#6      [kernel.kallsyms]     [k] clear_page_erms
     0.08%  GC Thread#11     libjvm.so             [.] G1ScanCardClosure::do_oop_work<narrowOop>
     0.08%  G1 Refine#6      libjvm.so             [.] G1RemSet::refine_card_concurrently
     0.08%  G1 Refine#12     libjvm.so             [.] OtherRegionsTable::add_reference
     0.07%  java             [kernel.kallsyms]     [k] clear_page_erms
     0.07%  GC Thread#14     [kernel.kallsyms]     [k] clear_page_erms
     0.07%  GC Thread#5      [kernel.kallsyms]     [k] clear_page_erms
     0.07%  GC Thread#17     libjvm.so             [.] OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, narrowOop>
     0.07%  G1 Refine#4      libjvm.so             [.] G1HotCardCache::insert
     0.07%  GC Thread#1      libjvm.so             [.] OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, narrowOop>
     0.07%  G1 Refine#3      libjvm.so             [.] G1CardCounts::add_card_count
     0.07%  GC Thread#15     [kernel.kallsyms]     [k] clear_page_erms
     0.07%  GC Thread#21     [kernel.kallsyms]     [k] clear_page_erms
     0.07%  GC Thread#21     libjvm.so             [.] OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, narrowOop>
     0.07%  GC Thread#13     libjvm.so             [.] G1ScanHRForRegionClosure::scan_heap_roots
     0.07%  G1 Refine#3      libjvm.so             [.] G1HotCardCache::insert
     0.07%  GC Thread#0      libjvm.so             [.] OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, narrowOop>
     0.07%  C2 CompilerThre  libc-2.28.so          [.] __memmove_sse2_unaligned_erms
     0.07%  GC Thread#1      [kernel.kallsyms]     [k] clear_page_erms
     0.07%  GC Thread#18     libjvm.so             [.] G1ScanCardClosure::do_oop_work<narrowOop>
     0.07%  java             perf-4009.map         [.] java.util.ArrayList pim.algorithm.BSTBuilder$BaseKeyValuePairGenerator.genPairs(int)
     0.07%  G1 Refine#19     libjvm.so             [.] OtherRegionsTable::add_reference
     0.07%  GC Thread#19     libjvm.so             [.] G1ScanCardClosure::do_oop_work<narrowOop>
     0.07%  GC Thread#2      [kernel.kallsyms]     [k] clear_page_erms
     0.07%  GC Thread#6      libjvm.so             [.] OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, narrowOop>
     0.07%  G1 Refine#16     libjvm.so             [.] OopOopIterateDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.07%  G1 Refine#14     libjvm.so             [.] OtherRegionsTable::add_reference
     0.06%  G1 Refine#5      libjvm.so             [.] G1RemSet::clean_card_before_refine
     0.06%  GC Thread#12     [kernel.kallsyms]     [k] clear_page_erms
     0.06%  G1 Refine#2      libjvm.so             [.] G1RemSet::clean_card_before_refine
     0.06%  VM Thread        [kernel.kallsyms]     [k] __list_add_valid
     0.06%  G1 Refine#9      libjvm.so             [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, narrowOop>
     0.06%  GC Thread#3      [kernel.kallsyms]     [k] clear_page_erms
     0.06%  G1 Refine#18     libjvm.so             [.] OtherRegionsTable::add_reference
     0.06%  GC Thread#11     libjvm.so             [.] OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, narrowOop>
     0.06%  GC Thread#13     libjvm.so             [.] G1ParScanThreadState::steal_and_trim_queue
     0.06%  GC Thread#17     libjvm.so             [.] G1ParScanThreadState::steal_and_trim_queue
     0.06%  GC Thread#18     [kernel.kallsyms]     [k] clear_page_erms
     0.06%  G1 Refine#0      libjvm.so             [.] G1BlockOffsetTablePart::alloc_block_work
     0.06%  GC Thread#10     libjvm.so             [.] G1ScanCardClosure::do_oop_work<narrowOop>
     0.06%  GC Thread#3      libjvm.so             [.] G1ScanCardClosure::do_oop_work<narrowOop>
     0.06%  java             perf-4009.map         [.] g1_post_barrier_slow
     0.06%  G1 Refine#13     libjvm.so             [.] OopOopIterateDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.06%  GC Thread#4      libjvm.so             [.] G1ParScanThreadState::steal_and_trim_queue
     0.06%  GC Thread#15     libjvm.so             [.] OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, narrowOop>
     0.06%  G1 Refine#20     libjvm.so             [.] OtherRegionsTable::add_reference
     0.06%  java             perf-4009.map         [.] java.util.ArrayList pim.algorithm.BSTBuilder$BaseKeyValuePairGenerator.genPairs(int)
     0.05%  G1 Refine#4      libjvm.so             [.] G1RemSet::clean_card_before_refine
     0.05%  G1 Refine#22     libjvm.so             [.] OopOopIterateDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.05%  C2 CompilerThre  libjvm.so             [.] PhaseIFG::init
     0.05%  G1 Refine#9      libjvm.so             [.] OtherRegionsTable::add_reference
     0.05%  GC Thread#20     [kernel.kallsyms]     [k] clear_page_erms
     0.05%  G1 Refine#19     [kernel.kallsyms]     [k] perf_iterate_ctx
     0.05%  GC Thread#10     libjvm.so             [.] OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, narrowOop>
     0.05%  GC Thread#13     [kernel.kallsyms]     [k] clear_page_erms
     0.05%  GC Thread#5      libjvm.so             [.] OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, narrowOop>
     0.05%  GC Thread#16     [kernel.kallsyms]     [k] clear_page_erms
     0.05%  GC Thread#14     libjvm.so             [.] OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, narrowOop>
     0.05%  G1 Refine#3      libjvm.so             [.] G1RemSet::clean_card_before_refine
     0.05%  G1 Refine#18     libjvm.so             [.] OopOopIterateDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.05%  GC Thread#16     libjvm.so             [.] G1ScanHRForRegionClosure::scan_heap_roots
     0.05%  GC Thread#15     libjvm.so             [.] G1ScanCardClosure::do_oop_work<narrowOop>
     0.05%  G1 Refine#16     libjvm.so             [.] OtherRegionsTable::add_reference
     0.05%  GC Thread#18     libjvm.so             [.] OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, narrowOop>
     0.05%  G1 Refine#19     libjvm.so             [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, narrowOop>
     0.05%  C2 CompilerThre  libc-2.28.so          [.] __memset_avx2_unaligned_erms
     0.05%  G1 Refine#19     libjvm.so             [.] OopOopIterateDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.05%  G1 Refine#13     libjvm.so             [.] OtherRegionsTable::add_reference
     0.05%  VM Thread        [kernel.kallsyms]     [k] inherit_task_group.isra.115.part.116
     0.04%  G1 Refine#22     libjvm.so             [.] OtherRegionsTable::add_reference
     0.04%  G1 Refine#20     libjvm.so             [.] OopOopIterateDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.04%  G1 Refine#3      [kernel.kallsyms]     [k] perf_iterate_ctx
     0.04%  VM Thread        [kernel.kallsyms]     [k] inherit_event.isra.113
     0.04%  G1 Refine#0      [kernel.kallsyms]     [k] perf_iterate_ctx
     0.04%  java             perf-4009.map         [.] int pim.algorithm.TreeNode.search(int)
     0.04%  G1 Refine#6      libjvm.so             [.] G1RemSet::clean_card_before_refine
     0.04%  G1 Refine#1      libjvm.so             [.] G1BlockOffsetTablePart::alloc_block_work
     0.04%  G1 Refine#17     libjvm.so             [.] OtherRegionsTable::add_reference
     0.04%  G1 Refine#10     libjvm.so             [.] OtherRegionsTable::add_reference
     0.04%  GC Thread#17     [kernel.kallsyms]     [k] clear_page_erms
     0.04%  G1 Refine#15     libjvm.so             [.] OtherRegionsTable::add_reference
     0.04%  G1 Refine#10     libjvm.so             [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, narrowOop>
     0.04%  GC Thread#7      [kernel.kallsyms]     [k] clear_page_erms
     0.04%  GC Thread#8      libjvm.so             [.] OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, narrowOop>
     0.04%  G1 Refine#2      libjvm.so             [.] G1CardCounts::add_card_count
     0.04%  GC Thread#5      [kernel.kallsyms]     [k] get_page_from_freelist
     0.04%  GC Thread#0      [kernel.kallsyms]     [k] get_page_from_freelist
     0.04%  G1 Refine#6      libjvm.so             [.] G1HotCardCache::insert
     0.04%  G1 Refine#21     libjvm.so             [.] OtherRegionsTable::add_reference
     0.04%  GC Thread#4      libjvm.so             [.] OopOopIterateDispatch<G1ScanCardClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.04%  G1 Refine#12     libjvm.so             [.] OopOopIterateDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.04%  G1 Refine#7      [kernel.kallsyms]     [k] perf_iterate_ctx
     0.04%  GC Thread#20     libjvm.so             [.] OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, narrowOop>
     0.04%  G1 Refine#8      libjvm.so             [.] OtherRegionsTable::add_reference
     0.04%  C2 CompilerThre  libjvm.so             [.] PhaseChaitin::interfere_with_live
     0.04%  G1 Refine#22     libjvm.so             [.] G1RemSet::refine_card_concurrently
     0.04%  G1 Refine#20     libjvm.so             [.] G1RemSet::refine_card_concurrently
     0.04%  G1 Refine#1      libjvm.so             [.] G1CardCounts::add_card_count
     0.04%  G1 Refine#13     libjvm.so             [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, narrowOop>
     0.04%  GC Thread#10     [kernel.kallsyms]     [k] get_page_from_freelist
     0.04%  G1 Refine#21     [kernel.kallsyms]     [k] perf_iterate_ctx
     0.04%  GC Thread#6      [kernel.kallsyms]     [k] get_page_from_freelist
     0.04%  G1 Refine#5      [kernel.kallsyms]     [k] perf_iterate_ctx
     0.04%  G1 Refine#2      libjvm.so             [.] G1BlockOffsetTablePart::alloc_block_work
     0.04%  GC Thread#7      [kernel.kallsyms]     [k] get_page_from_freelist
     0.04%  GC Thread#14     [kernel.kallsyms]     [k] get_page_from_freelist
     0.04%  G1 Refine#11     libjvm.so             [.] G1RemSet::refine_card_concurrently
